problem,path,n_int_vars,n_binary_vars,n_constraints,provider,max_iter,shots,status,wall_sec,peak_rss_mb,classical_optimal_objective,classical_optimal_solution,choco_best_feasible_objective,choco_best_feasible_solution,choco_best_feasible_probability,choco_raw_states,choco_raw_probabilities,iteration_count,circuit_depth,circuit_width,circuit_culled_depth,circuit_num_one_qubit_gates,error
assign1-5-8_ds_qaoa_R0002_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0002_0001.json,4,12,1,ddsim,30,256,ok,16.507090835948475,396.78515625,5.0,"{""C0033"": 0, ""C0038"": 1, ""C0053"": 1, ""row_slack_R0002"": 0}",0.0,"{""C0033"": 0, ""C0038"": 0, ""C0053"": 0, ""row_slack_R0002"": 5}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]",[1.0],25,136,26,60,129,
assign1-5-8_ds_qaoa_R0003_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0003_0001.json,4,12,1,ddsim,30,256,ok,24.02114707196597,475.046875,6.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 2, ""row_slack_R0003"": 1}",0.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 0, ""row_slack_R0003"": 5}",0.99609375,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 1, 1]]","[0.99609375, 0.00390625]",29,55,26,24,99,
assign1-5-8_ds_qaoa_R0007_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0007_0001.json,4,12,1,ddsim,30,256,ok,22.903980595991015,403.1640625,5.0,"{""C0033"": 0, ""C0038"": 1, ""C0053"": 1, ""row_slack_R0007"": 0}",0.0,"{""C0033"": 0, ""C0038"": 0, ""C0053"": 0, ""row_slack_R0007"": 5}",0.9921875,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1], [0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1], [1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 1]]","[0.9921875, 0.00390625, 0.00390625]",29,69,26,30,105,
assign1-5-8_ds_qaoa_R0008_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0008_0001.json,4,12,1,ddsim,30,256,ok,12.156551455031149,475.0703125,6.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 2, ""row_slack_R0008"": 1}",0.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 0, ""row_slack_R0008"": 5}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]",[1.0],20,135,26,60,127,
assign1-5-8_ds_qaoa_R0013_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0013_0001.json,4,12,1,ddsim,30,256,ok,14.701334067969583,400.0,4.0,"{""C0029"": 0, ""C0034"": 2, ""C0039"": 0, ""row_slack_R0013"": 1}",0.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 0, ""row_slack_R0013"": 5}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]",[1.0],24,135,26,60,127,
assign1-5-8_ds_qaoa_R0033_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0033_0001.json,4,12,1,ddsim,30,256,ok,21.521023752982728,396.5859375,6.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 2, ""row_slack_R0033"": 1}",0.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 0, ""row_slack_R0033"": 5}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]",[1.0],29,96,26,42,115,
assign1-5-8_ds_qaoa_R0037_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0037_0001.json,4,12,1,ddsim,30,256,ok,18.720844494062476,393.4453125,5.0,"{""C0033"": 0, ""C0038"": 1, ""C0053"": 1, ""row_slack_R0037"": 0}",0.0,"{""C0033"": 0, ""C0038"": 0, ""C0053"": 0, ""row_slack_R0037"": 5}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]",[1.0],21,96,26,42,115,
assign1-5-8_ds_qaoa_R0038_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0038_0001.json,4,12,1,ddsim,30,256,ok,15.477903170045465,477.359375,6.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 2, ""row_slack_R0038"": 1}",0.0,"{""C0029"": 0, ""C0034"": 0, ""C0039"": 0, ""row_slack_R0038"": 5}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1]]",[1.0],31,135,26,60,127,
assign1-5-8_ds_qaoa_R0132_0001,data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0132_0001.json,4,12,1,ddsim,30,256,ok,15.087023064028472,405.62890625,4.0,"{""C0033"": 0, ""C0034"": 0, ""C0035"": 0, ""C0036"": 1}",4.0,"{""C0033"": 0, ""C0034"": 0, ""C0035"": 0, ""C0036"": 1}",1.0,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0]]",[1.0],22,149,26,66,132,
ex10_ds_qaoa_NOD26_0001,data/miplib_benders/qaoa_problems/nvars_04/ex10_ds_qaoa_NOD26_0001.json,4,12,1,ddsim,30,256,ok,14.282467520912178,473.046875,1.0,"{""b26_220"": 0, ""b26_222"": 0, ""b26_223"": 0, ""b26_230"": 1}",1.0,"{""b26_220"": 0, ""b26_222"": 0, ""b26_223"": 0, ""b26_230"": 1}",0.99609375,"[[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0], [1, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0]]","[0.99609375, 0.00390625]",23,149,26,66,132,
