source_file,timestamp,pid,problem,problem_path,nvars,nconstraints,N,constraint_type,candidate_state_space_size,time_to_first_feasible_sec,init_elapsed_to_first_feasible_sec,first_feasible_objective,first_feasible_state,current_memory_mb,peak_memory_mb,argv
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:15+0800,8869,assign1-5-8_ds_qaoa_R0002_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0002_0001.json,4,1,8,linear,4096,0.0004737658891826868,0.00671446998603642,0.0,"[0, 0, 0, 5]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0002_0001.json --worker-result /tmp/qaoa_feasible_2e8tkzki/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:17+0800,9070,assign1-5-8_ds_qaoa_R0003_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0003_0001.json,4,1,8,linear,4096,0.0002731429412961006,0.004595848033204675,0.0,"[0, 0, 0, 5]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0003_0001.json --worker-result /tmp/qaoa_feasible_38xl8f04/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:18+0800,9219,assign1-5-8_ds_qaoa_R0007_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0007_0001.json,4,1,8,linear,4096,0.0002845099661499262,0.00471313507296145,0.0,"[0, 0, 0, 5]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0007_0001.json --worker-result /tmp/qaoa_feasible_hgmiauca/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:20+0800,9378,assign1-5-8_ds_qaoa_R0008_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0008_0001.json,4,1,8,linear,4096,0.0004039101768285036,0.006129016168415546,0.0,"[0, 0, 0, 5]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0008_0001.json --worker-result /tmp/qaoa_feasible_fp5cmonr/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:22+0800,9597,assign1-5-8_ds_qaoa_R0013_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0013_0001.json,4,1,8,linear,4096,0.000384381040930748,0.006121003068983555,0.0,"[0, 0, 0, 5]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0013_0001.json --worker-result /tmp/qaoa_feasible_kzo9df3y/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:24+0800,9915,assign1-5-8_ds_qaoa_R0033_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0033_0001.json,4,1,8,linear,4096,0.0003941059112548828,0.006129155866801739,0.0,"[0, 0, 0, 5]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0033_0001.json --worker-result /tmp/qaoa_feasible_33mmx_yh/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:25+0800,10143,assign1-5-8_ds_qaoa_R0037_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0037_0001.json,4,1,8,linear,4096,0.00029693800024688244,0.004487783880904317,0.0,"[0, 0, 0, 5]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0037_0001.json --worker-result /tmp/qaoa_feasible_6km26p36/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:27+0800,10293,assign1-5-8_ds_qaoa_R0038_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0038_0001.json,4,1,8,linear,4096,0.0004565201234072447,0.006873290985822678,0.0,"[0, 0, 0, 5]",152.0,152.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0038_0001.json --worker-result /tmp/qaoa_feasible_26xtvf0a/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:29+0800,10470,assign1-5-8_ds_qaoa_R0132_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0132_0001.json,4,1,8,linear,4096,0.0002485760487616062,0.005302675999701023,4.0,"[0, 0, 0, 1]",148.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/assign1-5-8_ds_qaoa_R0132_0001.json --worker-result /tmp/qaoa_feasible_n689f2ac/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
qaoa_feasible_benchmark_a100_20260721_162713_cvIP_qaoa_first_feasible.csv,2026-07-21T16:27:31+0800,10653,ex10_ds_qaoa_NOD26_0001,/home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex10_ds_qaoa_NOD26_0001.json,4,1,8,linear,4096,0.00025189109146595,0.00498798000626266,1.0,"[0, 0, 0, 1]",150.0,150.0,/home/zhenyusen/MIP-quantum/benchmark_qaoa_feasible.py --worker-problem /home/zhenyusen/MIP-quantum/data/miplib_benders/qaoa_problems/nvars_04/ex10_ds_qaoa_NOD26_0001.json --worker-result /tmp/qaoa_feasible_jdnjqqr7/result.json --p 1 --maxiter 5 --seed 42 --circuit-type multi_beta
